x,Curve1
0,0
0.48,1.18702e+06
0.5792,1.14424e+06
0.8653,1.16102e+06
2.2081,1.14069e+06
4.2181,1.16321e+06
6.4203,1.17832e+06
8.7184,1.19157e+06
11.017,1.19924e+06
13.4118,1.20134e+06
15.7113,1.19785e+06
18.1067,1.19251e+06
20.3108,1.18343e+06
22.6109,1.1725e+06
24.9111,1.1597e+06
27.1158,1.14318e+06
29.225,1.12293e+06
31.43,1.10268e+06
33.4436,1.08056e+06
35.6484,1.06218e+06
37.7575,1.04378e+06
39.9622,1.02726e+06
42.0711,1.01073e+06
44.2758,9.942e+05
46.5759,9.8327e+05
48.7804,9.6861e+05
51.0805,9.5768e+05
53.3806,9.4674e+05
55.5848,9.358e+05
57.8846,9.2859e+05
60.1845,9.1952e+05
62.4843,9.1231e+05
64.8798,9.051e+05
67.1795,8.9975e+05
69.4792,8.9254e+05
71.7788,8.8719e+05
74.0785,8.8184e+05
76.474,8.7464e+05
78.6781,8.6556e+05
80.9782,8.5462e+05
83.2783,8.4369e+05
85.5783,8.3276e+05
87.8781,8.2555e+05
90.1776,8.2206e+05
92.573,8.1672e+05
94.7769,8.0949e+05
97.0769,8.0042e+05
99.2811,7.8948e+05
101.4854,7.7854e+05
103.7851,7.7133e+05
106.0848,7.6598e+05
108.3844,7.6063e+05
110.3978,7.4036e+05
111.646,7.0514e+05
112.3201,6.6055e+05
112.9943,6.1597e+05
113.3812,5.695e+05
113.9596,5.249e+05
114.6337,4.8032e+05
115.3079,4.3574e+05
115.9819,3.9301e+05
116.8476,3.4845e+05
117.2329,3.2244e+05
118.0029,2.7787e+05
118.8685,2.3516e+05
119.8299,1.9247e+05
120.8869,1.5165e+05
122.2312,1.1271e+05
123.6712,7.565e+04
125.3023,4.418e+04
127.3157,2.392e+04
128.7534,1.476e+04
130.0,0.0